name[1],name[2],type,url
3D Tiles,,group,
,建物モデル (千代田区),3d-tiles,https://plateau.geospatial.jp/main/data/3d-tiles/bldg/13100_tokyo/13101_chiyoda-ku/notexture/tileset.json
,橋梁モデル (東京都23区),3d-tiles,https://plateau.geospatial.jp/main/data/3d-tiles/brid/13100_tokyo/tileset.json
Mapbox Vector Tiles,,group
,道路（東京都23区）,mvt,https://plateau.geospatial.jp/main/data/mvt/tran/13100_tokyo/{z}/{x}/{y}.mvt
,用途地域（東京都23区）,mvt,https://plateau.geospatial.jp/main/data/mvt/yotochiiki/13100_tokyo/{z}/{x}/{y}.mvt
GeoJSON,,group
,鉄道（東京都23区）,geojson,https://plateau.geospatial.jp/main/data/geojson/railway/13100_tokyo.json
,緊急輸送道路（東京都23区）,geojson,https://plateau.geospatial.jp/main/data/geojson/emergency_route/13100_tokyo.json
CZML,,group
,避難施設（千代田区）,czml,https://plateau.geospatial.jp/main/data/czml/shelter/13100_tokyo/13101_chiyoda-ku/shelter.czml
,行政界（東京都23区）,czml,https://plateau.geospatial.jp/main/data/czml/border/13100_tokyo.czml
